LocationFromNERflair,policereport_id
Kreuzberg,468
Schichauweg,469
Marienfelde,469
Miethepfad,469
Schöneberg,470
Ansbacher Straße,470
Pannierstraße,471
Neuköllner Donaustraße,471
Großen Tiergarten,472
Tiergarten,472
Gotzkowskystraße,473
Alt-Moabit,473
Tegel,474
Rumänien,474
Berlin,474
Neukölln,474
Steglitz-Zehlendorf,475
Schloßstraße,475
Steglitz,475
Ravensburg,476
Berlin,476
Kurfürstendamm,477
Ringbahnstraße,477
Tempelhof,477
Ecke Allee,478
Marzahn,478
Glienicker Brücke,479
Wannsee,479
Lichtenberg,480
Möllendorffstraße,480
Hansabrücke,481
Vincent-van-Gogh-Straße,482
Demminer Straße,482
Neu-Hohenschönhausen,482
Lankwitz,483
Kamenzer Damm,483
Choriner Straße,484
Prenzlauer Berg,484
Kreuzberg,485
Glogauer Straße,485
Görlitzer Park,485
Saatwinkler Damm,486
Charlottenburg-Nord,486
Kreuzberg,487
Tempelhofer Ufer,487
Oranienburger Straße,488
Wittenau,488
Boppstraße,489
Gryphiusstraße,490
Friedrichshain,490
Belßstraße,491
Karl-Marx-Straße,492
Neukölln,492
Hasenheide,492
Jülicher Straße,493
Gesundbrunnen,493
Grüntaler Straße,493
Friedenau,495
Dickhardtstraße,495
Karl-Marx-Straße,496
Neukölln,496
Streit,497
Kreuzberg,497
Skalitzer Straße,497
Kreuzberg,498
Spreewaldplatz,498
Kohlfurter Straße,498
Kurfürstendamm,499
Wilmersdorf,499
Gieselerstraße,500
Wilmersdorf,500
Müller-Breslau-Straße,501
